User ID,Name,Email Address,Username,Date of Birth,Location,Membership Start Date,Membership End Date,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Membership Duration (Days),Age,Days Since Membership Start,Gender__Female,Gender__Male,Plan__Annual,Plan__Monthly,Uses_Mobile,Uses_Desktop,Uses_Tablet,Uses_Smart TV,Genre_['Documentary'],Genre_['Horror'],Genre_['Comedy'],Genre_['Action'],Genre_['Drama'],Genre_['Sci-Fi'],Genre_['Romance'],Churned
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Rebeccachester,2024-01-15,2025-01-14,Mastercard,Manual,Regular,['Electronics'],['Documentary'],['Smart TV'],Medium,3.6,3,365,72,372,False,True,True,False,0,0,0,1,1,0,0,0,0,0,0,1
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Mcphersonview,2024-01-07,2025-01-06,Visa,Manual,Regular,['Electronics'],['Horror'],['Smartphone'],Medium,3.8,7,365,47,380,False,True,False,True,0,0,0,0,0,1,0,0,0,0,0,1
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Youngfort,2024-04-13,2025-04-13,Mastercard,Manual,Regular,['Books'],['Comedy'],['Smart TV'],Low,3.3,8,365,31,283,True,False,False,True,0,0,0,1,0,0,1,0,0,0,0,0
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Feliciashire,2024-01-24,2025-01-23,Amex,Auto-renew,Regular,['Electronics'],['Documentary'],['Smart TV'],High,3.3,7,365,61,363,True,False,False,True,0,0,0,1,1,0,0,0,0,0,0,0
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Port Deborah,2024-02-14,2025-02-13,Visa,Auto-renew,Frequent,['Clothing'],['Drama'],['Smart TV'],Low,4.3,1,365,64,342,False,True,True,False,0,0,0,1,0,0,0,0,1,0,0,0
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Lake Johnathan,2024-01-15,2025-01-14,Amex,Manual,Occasional,['Books'],['Action'],['Tablet'],Low,3.8,2,365,71,372,True,False,False,True,0,0,1,0,0,0,0,1,0,0,0,1
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Carlsonchester,2024-04-08,2025-04-08,Amex,Auto-renew,Frequent,['Clothing'],['Sci-Fi'],['Tablet'],Medium,4.4,10,365,22,288,False,True,False,True,0,0,1,0,0,0,0,0,0,1,0,0
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,West Matthewborough,2024-02-16,2025-02-15,Visa,Manual,Regular,['Electronics'],['Horror'],['Smart TV'],Medium,3.6,6,365,79,340,False,True,False,True,0,0,0,1,0,1,0,0,0,0,0,0
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Karenshire,2024-04-09,2025-04-09,Amex,Manual,Frequent,['Electronics'],['Documentary'],['Smartphone'],Medium,4.0,8,365,75,287,True,False,True,False,0,0,0,0,1,0,0,0,0,0,0,0
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,West Stephen,2024-03-10,2025-03-10,Visa,Auto-renew,Frequent,['Clothing'],['Drama'],['Tablet'],High,4.9,6,365,62,317,False,True,False,True,0,0,1,0,0,0,0,0,1,0,0,0
11,Douglas Hampton,tonya16@example.com,tonya16,1997-11-28,Cynthiaport,2024-03-24,2025-03-24,Visa,Manual,Regular,['Books'],['Documentary'],['Smart TV'],Low,4.0,1,365,28,303,True,False,False,True,0,0,0,1,1,0,0,0,0,0,0,0
12,Andrew Gomez,brian80@example.org,brian80,1952-09-08,Hillberg,2024-03-07,2025-03-07,Amex,Manual,Regular,['Books'],['Horror'],['Smart TV'],Low,4.4,6,365,73,320,True,False,True,False,0,0,0,1,0,1,0,0,0,0,0,0
